step,elapsed_sec,scene,action_kind,action_key,action_ds_x,action_ds_y
0,0.115,UNKNOWN,touch,,128,96
1,0.263,UNKNOWN,touch,,64,96
2,0.379,UNKNOWN,touch,,192,96
3,0.481,UNKNOWN,key,up,,
4,0.596,UNKNOWN,touch,,128,48
5,0.699,UNKNOWN,key,up,,
6,0.798,UNKNOWN,key,down,,
7,0.9,UNKNOWN,key,return,,
8,1.013,UNKNOWN,touch,,192,96
9,1.13,UNKNOWN,touch,,192,96
10,1.234,UNKNOWN,key,return,,
11,1.333,UNKNOWN,key,down,,
12,1.446,UNKNOWN,touch,,128,48
13,1.531,UNKNOWN,touch,,128,144
14,1.649,UNKNOWN,touch,,128,96
15,1.748,UNKNOWN,touch,,64,96
16,1.849,UNKNOWN,touch,,128,48
17,1.948,UNKNOWN,touch,,128,96
18,2.048,UNKNOWN,key,right,,
19,2.148,UNKNOWN,key,up,,
20,2.248,UNKNOWN,touch,,64,96
21,2.348,UNKNOWN,touch,,64,96
22,2.447,UNKNOWN,touch,,64,96
23,2.548,UNKNOWN,touch,,64,96
24,2.648,UNKNOWN,touch,,128,144
25,2.747,UNKNOWN,touch,,128,144
26,2.848,UNKNOWN,key,x,,
27,2.949,UNKNOWN,key,right,,
28,3.048,UNKNOWN,key,z,,
29,3.148,UNKNOWN,touch,,192,96
30,3.25,UNKNOWN,key,left,,
31,3.347,UNKNOWN,touch,,64,96
32,3.448,UNKNOWN,touch,,128,144
33,3.547,UNKNOWN,touch,,128,96
34,3.649,UNKNOWN,touch,,192,96
35,3.748,UNKNOWN,touch,,128,96
36,3.847,UNKNOWN,touch,,64,96
37,3.95,UNKNOWN,key,up,,
38,4.049,UNKNOWN,key,right,,
39,4.149,UNKNOWN,key,z,,
40,4.265,UNKNOWN,touch,,128,96
41,4.382,UNKNOWN,touch,,128,48
42,4.482,UNKNOWN,key,down,,
43,4.597,UNKNOWN,touch,,192,96
44,4.713,UNKNOWN,touch,,128,96
45,4.813,UNKNOWN,touch,,64,96
46,4.929,UNKNOWN,touch,,128,48
47,5.029,UNKNOWN,touch,,128,48
48,5.131,UNKNOWN,key,left,,
49,5.232,UNKNOWN,key,up,,
50,5.331,UNKNOWN,key,down,,
51,5.432,UNKNOWN,key,z,,
52,5.531,UNKNOWN,key,left,,
53,5.648,UNKNOWN,touch,,192,96
54,5.748,UNKNOWN,key,left,,
55,5.864,UNKNOWN,touch,,128,144
56,5.984,UNKNOWN,touch,,128,96
57,6.098,UNKNOWN,touch,,128,48
58,6.198,UNKNOWN,key,x,,
59,6.314,UNKNOWN,touch,,128,144
60,6.432,UNKNOWN,touch,,128,96
61,6.532,UNKNOWN,key,up,,
62,6.631,UNKNOWN,key,x,,
63,6.731,UNKNOWN,key,up,,
64,6.846,UNKNOWN,touch,,64,96
65,6.931,UNKNOWN,key,z,,
66,7.048,UNKNOWN,key,z,,
67,7.163,UNKNOWN,touch,,128,144
68,7.249,UNKNOWN,key,up,,
69,7.38,UNKNOWN,touch,,192,96
70,7.481,UNKNOWN,key,return,,
71,7.596,UNKNOWN,touch,,128,144
72,7.696,UNKNOWN,touch,,128,96
73,7.782,UNKNOWN,key,right,,
74,7.896,UNKNOWN,touch,,192,96
75,7.998,UNKNOWN,key,right,,
76,8.113,UNKNOWN,touch,,64,96
77,8.216,UNKNOWN,touch,,128,96
78,8.315,UNKNOWN,key,x,,
79,8.43,UNKNOWN,touch,,192,96
80,8.546,UNKNOWN,touch,,128,48
81,8.632,UNKNOWN,key,x,,
82,8.747,UNKNOWN,touch,,128,144
83,8.863,UNKNOWN,touch,,128,48
84,8.982,UNKNOWN,touch,,64,96
85,9.082,UNKNOWN,key,x,,
86,9.181,UNKNOWN,key,return,,
87,9.281,UNKNOWN,key,left,,
88,9.399,UNKNOWN,touch,,128,48
89,9.5,UNKNOWN,key,down,,
90,9.599,UNKNOWN,key,x,,
91,9.714,UNKNOWN,touch,,128,48
92,9.831,UNKNOWN,touch,,128,48
93,9.947,UNKNOWN,touch,,128,48
94,10.067,UNKNOWN,touch,,64,96
95,10.18,UNKNOWN,touch,,128,96
96,10.299,UNKNOWN,touch,,128,144
97,10.413,UNKNOWN,touch,,128,144
98,10.498,UNKNOWN,key,return,,
99,10.63,UNKNOWN,touch,,128,48
100,10.732,UNKNOWN,key,x,,
101,10.833,UNKNOWN,key,return,,
102,10.947,UNKNOWN,touch,,128,48
103,11.067,UNKNOWN,touch,,64,96
104,11.164,UNKNOWN,key,down,,
105,11.28,UNKNOWN,touch,,64,96
106,11.398,UNKNOWN,touch,,64,96
107,11.517,UNKNOWN,touch,,64,96
108,11.615,UNKNOWN,key,down,,
109,11.73,UNKNOWN,touch,,128,48
110,11.83,UNKNOWN,touch,,128,96
111,11.953,UNKNOWN,touch,,128,48
112,12.049,UNKNOWN,key,x,,
113,12.15,UNKNOWN,key,z,,
114,12.264,UNKNOWN,touch,,128,144
115,12.38,UNKNOWN,touch,,128,96
116,12.465,UNKNOWN,key,x,,
117,12.565,UNKNOWN,key,x,,
118,12.681,UNKNOWN,touch,,128,48
119,12.782,UNKNOWN,key,up,,
120,12.882,UNKNOWN,key,up,,
121,12.981,UNKNOWN,key,left,,
122,13.096,UNKNOWN,touch,,128,96
123,13.183,UNKNOWN,key,left,,
124,13.282,UNKNOWN,key,return,,
125,13.397,UNKNOWN,touch,,192,96
126,13.496,UNKNOWN,touch,,64,96
127,13.613,UNKNOWN,touch,,64,96
128,13.717,UNKNOWN,touch,,192,96
129,13.83,UNKNOWN,touch,,192,96
130,13.933,UNKNOWN,key,up,,
131,14.047,UNKNOWN,touch,,64,96
132,14.148,UNKNOWN,key,right,,
133,14.248,UNKNOWN,key,up,,
134,14.348,UNKNOWN,key,return,,
135,14.449,UNKNOWN,key,x,,
136,14.564,UNKNOWN,touch,,128,144
137,14.667,UNKNOWN,key,down,,
138,14.78,UNKNOWN,touch,,128,144
139,14.88,UNKNOWN,touch,,128,144
140,14.999,UNKNOWN,touch,,64,96
141,15.098,UNKNOWN,key,left,,
142,15.214,UNKNOWN,touch,,192,96
143,15.33,UNKNOWN,touch,,192,96
144,15.451,UNKNOWN,touch,,64,96
145,15.565,UNKNOWN,touch,,128,144
146,15.685,UNKNOWN,touch,,128,96
147,15.782,UNKNOWN,key,left,,
148,15.899,UNKNOWN,touch,,128,144
149,16.016,UNKNOWN,touch,,128,96
150,16.131,UNKNOWN,touch,,192,96
151,16.232,UNKNOWN,key,right,,
152,16.347,UNKNOWN,touch,,128,96
153,16.465,UNKNOWN,touch,,128,48
154,16.565,UNKNOWN,key,x,,
155,16.68,UNKNOWN,touch,,192,96
156,16.797,UNKNOWN,touch,,192,96
157,16.9,UNKNOWN,key,z,,
158,16.998,UNKNOWN,key,x,,
159,17.099,UNKNOWN,key,down,,
160,17.214,UNKNOWN,touch,,64,96
161,17.331,UNKNOWN,touch,,128,48
162,17.447,UNKNOWN,touch,,192,96
163,17.547,UNKNOWN,touch,,128,48
164,17.666,UNKNOWN,touch,,192,96
165,17.781,UNKNOWN,touch,,192,96
166,17.898,UNKNOWN,touch,,128,96
167,17.998,UNKNOWN,key,z,,
168,18.114,UNKNOWN,touch,,192,96
169,18.23,UNKNOWN,touch,,128,48
170,18.329,UNKNOWN,touch,,64,96
171,18.447,UNKNOWN,touch,,192,96
172,18.549,UNKNOWN,key,x,,
173,18.648,UNKNOWN,key,z,,
174,18.764,UNKNOWN,touch,,192,96
175,18.865,UNKNOWN,key,z,,
176,18.98,UNKNOWN,touch,,192,96
177,19.079,UNKNOWN,touch,,64,96
178,19.197,UNKNOWN,touch,,64,96
179,19.298,UNKNOWN,touch,,128,144
180,19.398,UNKNOWN,key,down,,
181,19.499,UNKNOWN,key,return,,
182,19.613,UNKNOWN,touch,,128,48
183,19.698,UNKNOWN,key,z,,
184,19.815,UNKNOWN,touch,,64,96
185,19.914,UNKNOWN,key,right,,
186,20.033,UNKNOWN,touch,,64,96
187,20.132,UNKNOWN,key,left,,
188,20.247,UNKNOWN,touch,,64,96
189,20.334,UNKNOWN,key,return,,
190,20.464,UNKNOWN,touch,,192,96
191,20.565,UNKNOWN,key,up,,
192,20.665,UNKNOWN,key,up,,
193,20.784,UNKNOWN,touch,,128,144
194,20.897,UNKNOWN,touch,,128,144
195,21.0,UNKNOWN,key,x,,
196,21.114,UNKNOWN,touch,,128,48
197,21.214,UNKNOWN,touch,,128,144
198,21.332,UNKNOWN,touch,,128,48
199,21.433,UNKNOWN,key,left,,
200,21.547,UNKNOWN,touch,,192,96
201,21.649,UNKNOWN,key,z,,
202,21.75,UNKNOWN,key,down,,
203,21.848,UNKNOWN,key,return,,
204,21.949,UNKNOWN,key,right,,
205,22.064,UNKNOWN,touch,,128,48
